nombre_buscado,tier_inferido,venue_mayor,tier_sala,notas
Tarchi,,,1.0,
Guxo,2.0,Fever Blue,2.0,
Bon Calso,3.0,Teatro Albeniz,2.0,
C Marí,,,2.0,sold out Aliatar + La Riviera Valencia
AmoryOdio,,,1.0,
ladiferencia2006,,,2.0,
Dano,4.0,C Complejo Art Media,2.0,venue extranjero eliminado
ABHIR,,,2.0,
Gatti,,,1.0,
Antony Z,,,2.0,sold out Industrial Copera
Yeidos,,,1.0,
superreservao,,,1.0,
UGLY,,,1.0,
RALY,,,1.0,
Ébano,,,2.0,
Sweetwave,,,1.0,
LEÏTI,,,2.0,llenó Sala Príncipe (Campo del Príncipe Granada)
C.EME,,,1.0,
Xico Palma,,,1.0,
Biberon,,,1.0,
L'haine,,,2.0,
Juicy BAE,2.0,Puerta del Sol,2.0,
ANMI,,,1.0,
Zakyo,,,1.0,
Galindo,,,1.0,
Bluu,,,1.0,
Dirty Suc,3.0,Auditorio y Palacio de Congresos Mar de Vigo,2.0,
Mda,3.0,Sala Apolo,2.0,
El Bugg,3.0,Razzmatazz 2,2.0,sala pequeña del complejo
yyy891,,,1.0,
cybernene,,,1.0,
Israel B,4.0,IFEMA,2.0,
yung brandy,,,1.0,
Aleesha,4.0,Anexo al Estadio Gran Canaria,2.0,
GREKKY,,,1.0,
BEJO,3.0,Teatro La Cúpula,2.0,teatro pequeño
Choclock,4.0,Espacio Mad Cool Villaverde,3.0,
WEST DUBAI,,,2.0,
West Srk,,,1.0,
Kinder Malo,,,1.0,
Cecilio G,,,1.0,
Prok,4.0,Estadio Obras Sanitarias,2.0,venue extranjero eliminado
Ayax,4.0,Estadio Obras Sanitarias,2.0,venue extranjero eliminado
LaBlackie,4.0,WiZink Center,3.0,
Faenna,,,1.0,
Metrika,4.0,Playa El Arenal,3.0,
GlorySixVain,,,1.0,
Oddliquor,3.0,Teatro Eslava,2.0,
Lil Mess,,,1.0,
Rojuu,4.0,C Complejo Art Media,2.0,venue extranjero eliminado
Barry B,4.0,Recinto de Festivales de Benicàssim,3.0,
Alizzz,4.0,Recinto de Festivales de Benicàssim,3.0,
Gese Da O,,,1.0,
Ergo Pro,4.0,WiZink Center,2.0,probable soporte
Ill Pekeño,4.0,WiZink Center,2.0,probable soporte
Hoke,3.0,Razzmatazz 2,2.0,sala pequeña del complejo
Sara Socas,4.0,Anexo al Estadio Gran Canaria,3.0,
Mvros,,,1.0,
MARCE,,,1.0,
Dlomalo,,,1.0,
Chiche Nieto,,,1.0,
KG970,,,1.0,
Samuel SLZR,,,1.0,
John Pollõn,,,2.0,
Shoda Monkas,,,1.0,
La Zowi,4.0,Palau Sant Jordi,3.0,
Albany,4.0,Complejo Embrujo,3.0,
Soto Asa,4.0,Playa El Arenal,3.0,
Pedro LaDroga,3.0,Caracol,2.0,Caracol ~500 personas
Faxu,,,1.0,
Funzo & Baby Loud,4.0,WiZink Center,3.0,
Nico Miseria,2.0,Sala Planta Baja,2.0,
Allan Parrish,,,1.0,
Nickzzy,,,2.0,
vatocholo,4.0,Ondarreta DBDB Arena,3.0,
Ben Yart,3.0,Teatro Magno,2.0,
Raul Clyde,4.0,Playa El Arenal,3.0,
Enry-k,3.0,Razzmatazz,2.0,
Daniela Garsal,,,1.0,
Cocco Lexa,,,2.0,
Gloosito,4.0,IFEMA,2.0,
mvrk,4.0,Movistar Arena,3.0,
Vera GRV,4.0,La Sala del Movistar Arena,2.0,sala pequeña del complejo
Slappy Av,,,1.0,
