nombre_canonico,spotify_id,spotify_nombre,spotify_score,lastfm_nombre,lastfm_mbid,lastfm_score,yt_channel_id,yt_nombre_canal,yt_score,sl_nombre,sl_mbid,sl_score,manual_override,notas
Tarchi,3hQ7aT3GTzf9jNYh80UBo3,tarchi,1.0,Tarchi,,1.0,UCnNu94mPQADiXDCytxrX-yQ,tarchi,1.0,,,,True,
Guxo,6iRgPV2iag75MOArijpAsz,Guxo,1.0,guxo,,1.0,UCjylXE3lAwb6UQEeP1q0fdg,Guxo,1.0,Guxo,55326367-18fc-416c-bb61-46132026150e,1.0,True,
Bon Calso,7ayZ0ZHp9SC1Bp6rzDd6gu,Bon Calso,1.0,Bon Calso,989157be-3433-4b3d-8182-a7232c1a654c,1.0,UClQRr7ET5hQ-Dze0YDc_CEA,Bon Calso,1.0,Bon Calso,989157be-3433-4b3d-8182-a7232c1a654c,1.0,True,
C Marí,7uthE7Fmy5aYOwlu1Yt4Ps,C Marí,1.0,C Marí,9ee7528c-dea2-4022-a41f-7768fd74d0fc,1.0,UCtBWcuYJp2qFlTrIy4TzbRw,C Marí,1.0,C Marí,9ee7528c-dea2-4022-a41f-7768fd74d0fc,1.0,True,
AmoryOdio,5meSi9uoBS3AAJ7XqjeKPY,AmoryOdio,1.0,AmoryOdio,,1.0,UCW7AmJ01zh1ZotUKyqIlWcg,AmoryOdio,1.0,,,,True,
ladiferencia2006,2iu7JdnEUFlgJn1GKbbpyp,ladiferencia2006,1.0,ladiferencia2006,,1.0,UCTAwYwUQ3QLA-uTkwpVHlVg,ladiferencia2006,1.0,ladiferencia2006,a4507d35-5970-44a1-86fa-e107ed6c5ac9,1.0,True,
Dano,3lIsPQW0jN6sMpiWuiShF0,Dano,1.0,Dano,b14fceed-31d0-4ed5-9717-2e93e4008955,1.0,UCYndombE03xAxQK3uDxwy2A,DANO,1.0,Dano,b14fceed-31d0-4ed5-9717-2e93e4008955,1.0,True,
ABHIR,2D8UzkIVdg1bj0Iqz6gjk0,ABHIR,1.0,Abhir,,1.0,UC9fOx2Tp9Ryeifj0Smv2V6w,Abhir,1.0,,,,True,
Gatti,5ZPltD0csqsDLzvV0JyeHa,Gatti,1.0,gatti,,1.0,UCig4bpFfh7XjfuGxA8tKKCA,GATTI,1.0,,,,True,
Antony Z,5lXkaxOaoMr8fpQFgYdGTc,Antony Z,1.0,Antony Z,0b481bbf-c7e8-4d55-b8fa-82b592faada8,1.0,UCkBitP8dbpuecrUPWE1e58g,ANTONY Z,1.0,Antony Z,0b481bbf-c7e8-4d55-b8fa-82b592faada8,1.0,True,
Yeidos,0UGWnJAVuq3n8I1PkO29Aj,Yeidos,1.0,Yeidos,,1.0,UCY-ActMtOTsgAyrdIbbbRlw,YEIDOS,1.0,,,,True,
superreservao,6AcMrxqogX2HwILuphv5Yq,superreservao,1.0,superreservao,df4cc5da-35ff-4e25-9c90-c74eff718ecb,1.0,UCpHjVOYw4yS0uSEhojl1hYA,superreservao,1.0,superreservao,df4cc5da-35ff-4e25-9c90-c74eff718ecb,1.0,True,
UGLY,6xDESBibWD4VYdmtbVnLew,UGLY,1.0,Ugly,,1.0,UCg8geUZ_YwLohSN7TzfEriQ,Ugly Official,1.0,,,,True,
RALY,2n7Tgi3I83F8hzPgWsju4t,RALY,1.0,Raly,90e32f72-0e86-4f74-88a4-9ad0f2ade24e,1.0,UCzzt2snMMe-Dq2NYb-b4RNA,RALY,1.0,RALY,90e32f72-0e86-4f74-88a4-9ad0f2ade24e,1.0,True,
Ébano,7q0HsrVsikGwRXqJsMsOZ5,Ébano,1.0,Ébano,d3088e46-e145-4eab-b59f-f052710bb2ad,1.0,UCLATGLMEX2AGcUBYCOinciw,ÉBANO,1.0,Ébano,d3088e46-e145-4eab-b59f-f052710bb2ad,1.0,True,
Sweetwave,06zXH12gLDpAdKK0WQLp01,Sweetwave,1.0,Sweetwave,,1.0,UCB5FqzulqxrptjE8AhPYWjw,Sweetwave,1.0,,,,True,
LEÏTI,5FQJWdcKPAijmEi4uroZ4h,LEÏTI,1.0,LEÏTI,705e98a9-be44-4217-8418-4feb8b78abe9,1.0,UCGkr33cbj0n22UdXp_2JTOw,LEÏTI,1.0,LEÏTI,705e98a9-be44-4217-8418-4feb8b78abe9,1.0,True,
C.EME,29ZCVFRVjUlmouhwMscyrl,C.EME,1.0,C.eme,,1.0,UCthBTBUs4Uu7AoYTUReXoOA,C EME,0.8,,,,True,
Xico Palma,3N1oeQr1RmJDQqt9ps2AK0,Xico Palma,1.0,Xico Palma,,1.0,,,,,,,True,
Biberon,31VgmAag1FUVTzQpASIeFo,Biberon,1.0,BIBERON,,1.0,UCMAocKF4BBry_7EaFQxxtrw,Dj BiBeron,0.82,,,,True,
L'haine,7tXH4uI7BOE7hFBazlah0q,L'haine,1.0,L'haine,,1.0,UCAhuy8Cdu8LVqx0SEJHPP-w,L'haine,1.0,,,,True,
Juicy BAE,46K14JAfAHpxTSkb6KkFfN,Juicy BAE,1.0,Juicy BAE,,1.0,UC6CoYvadi_8TZFRD1-7VomQ,JUICY BAE,1.0,,,,True,
ANMI,0V6FSnhjLqpJpS6srrNiRg,ANMI,1.0,anmi,,1.0,UCtuJ8wEWR7yfNO6m0Wi1Jzw,ANMI,1.0,,,,True,
Zakyo,61hrqN6V7joyv7HvosKyOY,Zakyo,1.0,Zakyo,,1.0,UCnjs8rNSyQjCD5TmENf5R5w,Zakyo ♪,0.83,Zakyo,62317fb3-6daa-46fb-920b-48fc26d6ad50,1.0,True,
Galindo,6hPK8x2BDxqErjx961t8Ch,Galindo,1.0,Galindo,e2ef76e3-5c93-4907-94dc-739d73d2ccc3,1.0,UCuYAqUWFnoz0GwR0wdvLNVA,Galindo,1.0,Galindo,e2ef76e3-5c93-4907-94dc-739d73d2ccc3,1.0,True,
Bluu,7MaetI56T44uHIHh0px5zv,Bluu,1.0,Bluu,46693b26-5584-4803-b128-53b1b51d6e60,1.0,UCwQZd5A2hxC7J4aAomoPfCA,Bluu,1.0,Bluu,46693b26-5584-4803-b128-53b1b51d6e60,1.0,True,
Dirty Suc,5zziunXg44b8BEQnVx7W2e,Dirty Suc,1.0,Dirty Suc,ae874005-64db-474f-b1f3-8a9969fbb91f,1.0,UCqE4Vk3HH-8bTbxn-3ODpng,Dirty Suc,1.0,Dirty Suc,ae874005-64db-474f-b1f3-8a9969fbb91f,1.0,True,
Mda,6goQbtqjPhPns8RVRXTyp7,Mda,1.0,MDA,,1.0,UC-Ntg89GC9GxmppY4MDvw4Q,Mda,1.0,Mda,1fc3dbf2-8123-47c2-a6b9-031aafc1f04d,1.0,True,
El Bugg,6o4L5N0aiAhdtN3pqEwG0P,El Bugg,1.0,El Bugg,f82885fc-46ca-47c5-9ffa-6e882fea292c,1.0,UCbeu0o0mgaOw1J0gDxhV3cw,El Bugg,1.0,El Bugg,f82885fc-46ca-47c5-9ffa-6e882fea292c,1.0,True,
yyy891,5eBluOvPk819K9BZB1XV9v,yyy891,1.0,yyy891,07373efd-a7d6-43e1-8f48-4fe75d874423,1.0,UC6wNxO3ANs-wnqQBCNo8QRg,yyy891,1.0,yyy891,07373efd-a7d6-43e1-8f48-4fe75d874423,1.0,True,
cybernene,0frxUwUJIHPXGWZh4bSdYZ,cybernene,1.0,cybernene,,1.0,UC6Zl-S1RJXS2tPJGV-RBOlg,cybernene,1.0,cybernene,e50869d3-1dc9-4d5e-8754-34c7cc8971c7,1.0,True,
Israel B,16M8fuShcwX8uBDdmFZH9B,Israel B,1.0,Israel B,609e9bfc-1598-4814-a7a9-4579ce8af016,1.0,UCYau4SVOiF0z64g_rwH4Q7g,ISRAEL B,1.0,Israel B,609e9bfc-1598-4814-a7a9-4579ce8af016,1.0,True,
yung brandy,2kozBqlh379SQwNFduYBXf,yung brandy,1.0,Yung Brandy,,1.0,UCP7aHFPVBuM45zrFtRJg2Cw,Yung Brandy,1.0,,,,True,
Aleesha,18qC8mrcJ9ZjChRDPvpadi,Aleesha,1.0,Aleesha,4b71727b-85a0-4a57-863e-aaa80d32c3a0,1.0,UCuIvkQbxvLVQ3tcWIedjy_w,ALEESHA,1.0,Aleesha,4b71727b-85a0-4a57-863e-aaa80d32c3a0,1.0,True,
GREKKY,1u3I0DjvZlCZaeyzUD4bPW,GREKKY,1.0,Grekky,,1.0,,,,,,,True,
BEJO,0adJG3bdFTHCkTY28NkY4u,BEJO,1.0,Bejo,634d4044-77e3-4d92-813a-ae63734f4378,1.0,UCWEK3hIfVb-FLtBGHB7S5-Q,BEJO,1.0,BEJO,634d4044-77e3-4d92-813a-ae63734f4378,1.0,True,
Choclock,1Ixof0imwzqpuV21Ug9pKn,Choclock,1.0,Choclock,0dbc9717-32aa-47bc-b787-79aded2ea9bf,1.0,UC5Eyubx768Mk6XOjmixomQQ,ChoclockVEVO,1.0,Choclock,0dbc9717-32aa-47bc-b787-79aded2ea9bf,1.0,True,
WEST DUBAI,0ThxHJx0ElqLD8h2Compyq,WEST DUBAI,1.0,West Dubai,,1.0,UCdyS-FBtHV-sR320sV8DNXw,WEST DUBAI,1.0,,,,True,
West Srk,0M0cPEB7uDiRRc22XtyRBZ,West Srk,1.0,West Srk,,1.0,UCgsPMRkxSvZpHDhLac1KQfQ,West Srk,1.0,,,,True,
Kinder Malo,1Aoj8qX6kPfLTagb7qbKg0,Kinder Malo,1.0,Kinder Malo,f804b985-5bb9-4402-b700-5bed47f8238f,1.0,UC0gG18ashfwYY0mtd2HnCYA,KinderMaloVEVO,0.95,Kinder Malo,f804b985-5bb9-4402-b700-5bed47f8238f,1.0,True,
Cecilio G,2Q2fYVYxFSmodq53BFyD6p,Cecilio G,1.0,Cecilio G,,1.0,UCo6ceAlBZMuOc9m9TG-alYw,Cecilio G,1.0,,,,True,
Prok,690kydOVFha4Ri8kieEQ31,Prok,1.0,prok,,1.0,UCvAP3YHWzYppmW2qK_RoQLw,Ayax y Prok,1.0,Prok,fa8e7fb9-c595-4811-aad9-16b37ac27f5b,1.0,True,canal compartido con Ayax
Ayax,1lVofHO8O8nEygHTwJ2tnU,Ayax,1.0,Ayax,,1.0,UCvAP3YHWzYppmW2qK_RoQLw,Ayax y Prok,1.0,Ayax,fa8e7fb9-c595-4811-aad9-16b37ac27f5b,1.0,True,canal compartido con Prok
