nombre_buscado,tier_sala,nivel,target,sp_num_albums,sp_num_singles,sp_num_eps,sp_num_total_releases,sp_anos_activo,sp_releases_por_ano,sp_dias_desde_ultimo_release,sp_ratio_albums_singles,sp_avg_duration_ms,sp_pct_explicit,sp_pct_colabs,lfm_oyentes,lfm_oyentes_log,lfm_scrobbles,lfm_scrobbles_log,lfm_scrobbles_por_oyente,lfm_num_generos,yt_suscriptores,yt_suscriptores_log,yt_vistas_totales,yt_vistas_log,yt_num_videos,yt_vistas_por_video,yt_vistas_por_suscriptor,yt_edad_canal_anos,sl_avg_canciones,sl_pct_encore,sl_num_paises,sl_num_conciertos,sl_pct_espana,trend_gtrends_interes_medio,trend_gtrends_log,trend_yt_vistas_recientes,trend_yt_vistas_recientes_log,trend_yt_videos_recientes,trend_yt_vistas_por_video_reciente
Tarchi,1,bajo,1,3,7,0,10,5.0,2.0,196.0,0.375,136319.5,0.5,0.0,15952.0,9.677402178300998,1431974.0,14.174565168249774,89.7676780341023,0,8850.0,9.088285725968877,2450753.0,14.711906290276064,55.0,44559.145454545454,276.9212429378531,5.919233401779603,,,,,,23.51,3.1990811975400213,58908.0,10.983749159324974,5.0,11781.6
Guxo,2,medio,2,8,15,0,23,4.0,5.75,178.0,0.5,192269.1,0.9,0.9,19016.0,9.853088594952276,629867.0,13.353265552605011,33.123001682793436,0,5410.0,8.596189197642735,2994398.0,14.91225410161558,45.0,66542.17777777778,553.4931608133087,7.255304585900069,,,1.0,2.0,1.0,4.94,1.7817091333745536,6788.0,8.823058934301647,5.0,1357.6
Bon Calso,2,medio,2,4,6,0,10,8.0,1.25,67.0,0.5714285714285714,162249.57142857142,0.42857142857142855,0.2857142857142857,21280.0,9.965569934832672,1321185.0,14.094040376015139,62.08576127819549,5,16100.0,9.686636660844938,9374466.0,16.053500274871205,79.0,118664.12658227848,582.2649689440993,7.279945242984257,1.3636363636363635,0.0,1.0,22.0,1.0,11.34,2.5128460184772416,143609.0,11.874856571054664,5.0,28721.8
C Marí,2,medio,2,1,0,0,1,2.0,0.5,521.0,1.0,176774.0,0.0,1.0,16306.0,9.699349742461278,1052087.0,13.866287318971425,64.52146449159818,5,15400.0,9.642187721358466,6845373.0,15.739083653634268,62.0,110409.24193548386,444.5047402597403,4.955509924709103,0.0,0.0,1.0,2.0,1.0,2.62,1.2864740258376797,77743.0,11.261176656645684,5.0,15548.6
AmoryOdio,1,bajo,1,2,8,0,10,1.0,10.0,53.0,0.2222222222222222,168871.1,0.6,0.5,752.0,6.6240652277998935,5184.0,8.553525120663627,6.8936170212765955,0,290.0,5.673323267171493,31740.0,10.365364499570234,12.0,2645.0,109.44827586206897,0.9226557152635181,,,,,,0.0,0.0,25384.0,10.141913727381494,5.0,5076.8
ladiferencia2006,2,medio,2,1,9,0,10,1.0,10.0,87.0,0.1,152803.2,0.4,0.7,12076.0,9.399058096275375,1357380.0,14.12106766580596,112.4031136137794,1,3060.0,8.026496938945412,833892.0,13.633860375747963,1.0,833892.0,272.51372549019607,0.6269678302532512,,,,,,4.4,1.6863989535702288,5380.0,8.59062950948942,1.0,5380.0
Dano,2,medio,2,4,1,0,5,14.0,0.36,430.0,2.0,239410.6,1.0,1.0,69688.0,11.1517977650686,2898549.0,14.87972116991502,41.59322982436,5,25700.0,10.154285180632154,10872019.0,16.201703074399358,12.0,906001.5833333334,423.0357587548638,6.425735797399041,5.333333333333333,0.1111111111111111,2.0,9.0,0.4444444444444444,17.04,2.8925915146344776,3907.0,8.270781013162674,5.0,781.4
ABHIR,2,medio,2,3,7,0,10,5.0,2.0,39.0,0.375,231937.6,0.4,0.8,23243.0,10.053802313194996,856228.0,13.66029314271037,36.838101794088544,5,28300.0,10.250652418696085,12221007.0,16.31866699603084,62.0,197113.01612903227,431.83770318021203,14.737850787132102,,,,,,12.94,2.6347624053323777,377665.0,12.84176548611541,5.0,75533.0
Gatti,1,bajo,1,0,9,0,9,2.0,4.5,74.0,0.0,142519.0,0.0,0.6,4632.0,8.440959885416648,56638.0,10.944453072844512,12.227547495682211,0,939.0,6.84587987526405,120645.0,11.700615916753062,12.0,10053.75,128.48242811501598,12.388774811772759,,,,,,4.23,1.6544112780768316,27205.0,10.211192816193375,5.0,5441.0
Antony Z,2,medio,2,4,6,0,10,5.0,2.0,73.0,0.5714285714285714,194357.66666666666,0.16666666666666666,1.0,6984.0,8.851520271691061,92068.0,11.430293574921723,13.182703321878579,0,15300.0,9.635673464721814,8127241.0,15.910732186577599,68.0,119518.25,531.1922222222222,8.167008898015059,,,,,,6.15,1.9671123567059163,103964.0,11.551809583020194,5.0,20792.8
